name,ingredients,quantities,category
Polpette di zucca,Parmigiano Reggiano DOP,da grattugiare100g,Antipasti
Polpette di zucca,Scamorza affumicata,50g,Antipasti
Polpette di zucca,Uova,1,Antipasti
Polpette di zucca,Salvia,q.b.,Antipasti
Polpette di zucca,Olio extravergine d'oliva,q.b.,Antipasti
Polpette di zucca,Sale fino,q.b.,Antipasti
Polpette di zucca,Pepe nero,q.b.,Antipasti
Polpette di zucca,Pangrattato,q.b.,Antipasti
Polpette di zucca,Olio di semi,q.b.,Antipasti
Panzerotti (calzoni) fritti,Farina 00,250g,Antipasti
Panzerotti (calzoni) fritti,Farina Manitoba,250g,Antipasti
Panzerotti (calzoni) fritti,Acqua,tiepida285g,Antipasti
Panzerotti (calzoni) fritti,Olio extravergine d'oliva,8g,Antipasti
Panzerotti (calzoni) fritti,Lievito di birra fresco,"8,5g",Antipasti
Panzerotti (calzoni) fritti,Zucchero,5g,Antipasti
Panzerotti (calzoni) fritti,Sale fino,10g,Antipasti
Panzerotti (calzoni) fritti,Fiordilatte,250g,Antipasti
Panzerotti (calzoni) fritti,Passata di pomodoro,200g,Antipasti
Panzerotti (calzoni) fritti,Sale fino,q.b.,Antipasti
Panzerotti (calzoni) fritti,Origano,q.b.,Antipasti
Panzerotti (calzoni) fritti,Olio extravergine d'oliva,q.b.,Antipasti
Panzerotti (calzoni) fritti,Olio di semi,q.b.,Antipasti
Piadina Romagnola,Farina 00,500g,Antipasti
Piadina Romagnola,Strutto,125g,Antipasti
Piadina Romagnola,Acqua,a temperatura ambiente170g,Antipasti
Piadina Romagnola,Sale fino,15g,Antipasti
Piadina Romagnola,Bicarbonato,"1,5cucchiaini",Antipasti
Flan di zucca,Zucca,polpa500g,Antipasti
Flan di zucca,Parmigiano Reggiano DOP,da grattugiare100g,Antipasti
Flan di zucca,Latte intero,1cucchiaio,Antipasti
Flan di zucca,Olio extravergine d'oliva,q.b.,Antipasti
Flan di zucca,Pepe nero,q.b.,Antipasti
Flan di zucca,Sale fino,q.b.,Antipasti
Flan di zucca,Rosmarino,q.b.,Antipasti
Flan di zucca,Noce moscata,q.b.,Antipasti
Flan di zucca,Uova,medie4,Antipasti
Flan di zucca,Caprino,240g,Antipasti
Flan di zucca,Panna fresca liquida,100ml,Antipasti
Flan di zucca,Pepe nero,q.b.,Antipasti
Flan di zucca,Sale fino,1pizzico,Antipasti
Flan di zucca,Burro,q.b.,Antipasti
Mozzarella in carrozza,Pane bianco in cassetta,(600 g) 12fette,Antipasti
Mozzarella in carrozza,Mozzarella di bufala,preferibilmente del giorno prima500g,Antipasti
Mozzarella in carrozza,Sale fino,q.b.,Antipasti
Mozzarella in carrozza,Uova,grandi5,Antipasti
Mozzarella in carrozza,Farina 00,100g,Antipasti
Mozzarella in carrozza,Pangrattato,300g,Antipasti
Mozzarella in carrozza,Olio di semi di girasole,1l,Antipasti
Crocchette di patate,Patate rosse,1kg,Antipasti
Crocchette di patate,Tuorli,30g,Antipasti
Crocchette di patate,Noce moscata,q.b.,Antipasti
Crocchette di patate,Pepe nero,q.b.,Antipasti
Crocchette di patate,Sale fino,q.b.,Antipasti
Crocchette di patate,Parmigiano Reggiano DOP,grattugiato 100g,Antipasti
Crocchette di patate,Uova,(2 medie)130g,Antipasti
Crocchette di patate,Pangrattato,q.b.,Antipasti
Crocchette di patate,Olio di semi di arachide,q.b.,Antipasti
Polpette di spinaci e ricotta,Spinaci,già puliti250g,Antipasti
Polpette di spinaci e ricotta,Ricotta vaccina,250g,Antipasti
Polpette di spinaci e ricotta,Grana Padano DOP,(da grattugiare)50g,Antipasti
Polpette di spinaci e ricotta,Pangrattato,40g,Antipasti
Polpette di spinaci e ricotta,Olio extravergine d'oliva,20g,Antipasti
Polpette di spinaci e ricotta,Aglio,1spicchio,Antipasti
Polpette di spinaci e ricotta,Sale fino,q.b.,Antipasti
Polpette di spinaci e ricotta,Pepe nero,q.b.,Antipasti
Polpette di spinaci e ricotta,Uova,1,Antipasti
Polpette di spinaci e ricotta,Pangrattato,q.b.,Antipasti
Polpette di spinaci e ricotta,Sale fino,q.b.,Antipasti
Polpette di spinaci e ricotta,Pepe nero,q.b.,Antipasti
Cornetti salati,Pasta Sfoglia,rettangolare460g,Antipasti
Cornetti salati,Pancetta arrotolata,a fette50g,Antipasti
Cornetti salati,Edamer,a fette50g,Antipasti
Cornetti salati,Semi di sesamo,1cucchiaio,Antipasti
Cornetti salati,Salmone affumicato,a fette100g,Antipasti
Cornetti salati,Robiola,50g,Antipasti
Cornetti salati,Prezzemolo,q.b.,Antipasti
Cornetti salati,Basilico,q.b.,Antipasti
Cornetti salati,Semi di sesamo nero,1cucchiaio,Antipasti
Cornetti salati,Tuorli,1,Antipasti
Cornetti salati,Latte intero,q.b.,Antipasti
Cornetti salati,Acqua,q.b.,Antipasti
Capesante gratinate,Capesante,8,Antipasti
Capesante gratinate,Pane,mollica100g,Antipasti
Capesante gratinate,Pepe nero,q.b.,Antipasti
Capesante gratinate,Sale fino,q.b.,Antipasti
Capesante gratinate,Olio extravergine d'oliva,40g,Antipasti
Capesante gratinate,Scorza di limone,1,Antipasti
Capesante gratinate,Prezzemolo,q.b.,Antipasti
Capesante gratinate,Timo,q.b.,Antipasti
Capesante gratinate,Maggiorana,q.b.,Antipasti
Pasta Sfoglia,Farina 00,175g,Antipasti
Pasta Sfoglia,Acqua,a temperatura ambiente100g,Antipasti
Pasta Sfoglia,Sale fino,5g,Antipasti
Pasta Sfoglia,Burro,non troppo freddo e ancora plastico250g,Antipasti
Pasta Sfoglia,Farina 00,150g,Antipasti
Torta salata di melanzane,Pasta Sfoglia,rettangolare230g,Antipasti
Torta salata di melanzane,Melanzane,lunghe400g,Antipasti
Torta salata di melanzane,Scamorza (provola),dolce250g,Antipasti
Torta salata di melanzane,Parmigiano Reggiano DOP,100g,Antipasti
Torta salata di melanzane,Pomodori secchi sott'olio,100g,Antipasti
Torta salata di melanzane,Sale fino,q.b.,Antipasti
Torta salata di melanzane,Pepe nero,q.b.,Antipasti
Torta salata di melanzane,Olio extravergine d'oliva, q.b.,Antipasti
Torta di patate e prosciutto,Patate,"1,2kg",Antipasti
Torta di patate e prosciutto,Spinaci,500g,Antipasti
Torta di patate e prosciutto,Caciocavallo,320g,Antipasti
Torta di patate e prosciutto,Prosciutto cotto,(a fette)110g,Antipasti
Torta di patate e prosciutto,Grana Padano DOP,da grattugiare70g,Antipasti
Torta di patate e prosciutto,Tuorli,(di uova medie)2,Antipasti
Torta di patate e prosciutto,Aglio,1spicchio,Antipasti
Torta di patate e prosciutto,Rosmarino,q.b.,Antipasti
Torta di patate e prosciutto,Olio extravergine d'oliva,q.b.,Antipasti
Torta di patate e prosciutto,Sale fino,q.b.,Antipasti
Torta di patate e prosciutto,Pepe nero,q.b.,Antipasti
Torta di patate e prosciutto,Burro,20g,Antipasti
Torta di patate e prosciutto,Grana Padano DOP,da grattugiare20g,Antipasti
Muffin salati con piselli e prosciutto,Pisellini,200g,Antipasti
Muffin salati con piselli e prosciutto,Prosciutto cotto,100g,Antipasti
Muffin salati con piselli e prosciutto,Farina 00,200g,Antipasti
Muffin salati con piselli e prosciutto,Latte intero,100ml,Antipasti
Muffin salati con piselli e prosciutto,Uova,(3)170g,Antipasti
Muffin salati con piselli e prosciutto,Prezzemolo,1ciuffo,Antipasti
Muffin salati con piselli e prosciutto,Olio extravergine d'oliva,q.b.,Antipasti
Muffin salati con piselli e prosciutto,Pecorino,da grattugiare100g,Antipasti
Muffin salati con piselli e prosciutto,Lievito istantaneo per preparazioni salate,10g,Antipasti
Muffin salati con piselli e prosciutto,Sale fino,q.b.,Antipasti
Muffin salati con piselli e prosciutto,Pepe nero,q.b.,Antipasti
Muffin salati con piselli e prosciutto,Olio di semi,100ml,Antipasti
Casatiello napoletano,Acqua,375g,Antipasti
Casatiello napoletano,Farina 00,650g,Antipasti
Casatiello napoletano,Lievito di birra fresco,10g,Antipasti
Casatiello napoletano,Sale fino,15g,Antipasti
Casatiello napoletano,Pepe nero,q.b.,Antipasti
Casatiello napoletano,Strutto,25g,Antipasti
Casatiello napoletano,Olio extravergine d'oliva,25g,Antipasti
Casatiello napoletano,Salame napoletano,150g,Antipasti
Casatiello napoletano,Pecorino,150g,Antipasti
Casatiello napoletano,Uova,4,Antipasti
Sformatini di spinaci,Spinaci,500g,Antipasti
Sformatini di spinaci,Uova,4,Antipasti
Sformatini di spinaci,Noce moscata,2g,Antipasti
Sformatini di spinaci,Sale fino,q.b.,Antipasti
Sformatini di spinaci,Pinoli,20g,Antipasti
Sformatini di spinaci,Pangrattato,q.b.,Antipasti
Sformatini di spinaci,Olio di semi,q.b.,Antipasti
Sformatini di spinaci,Parmigiano Reggiano DOP,da grattugiare100g,Antipasti
Sformatini di spinaci,Pepe nero,q.b.,Antipasti
Sformatini di spinaci,Olio extravergine d'oliva,q.b.,Antipasti
Sformatini di spinaci,Latte intero,1cucchiaio,Antipasti
Sformatini di spinaci,Latte intero,250ml,Antipasti
Sformatini di spinaci,Burro,15g,Antipasti
Sformatini di spinaci,Parmigiano Reggiano DOP,da grattugiare25g,Antipasti
Sformatini di spinaci,Farina 00,25g,Antipasti
Torta rustica salata,Acqua,ghiacciata70g,Antipasti
Torta rustica salata,Farina 00,200g,Antipasti
Torta rustica salata,Burro,freddo di frigo100g,Antipasti
Torta rustica salata,Sale fino,q.b.,Antipasti
Torta rustica salata,Speck,200g,Antipasti
Torta rustica salata,Patate,110g,Antipasti
Torta rustica salata,Fontina,160g,Antipasti
Torta rustica salata,Timo,2rametti,Antipasti
Torta rustica salata,Paprika,1pizzico,Antipasti
Torta rustica salata,Sale fino,q.b.,Antipasti
Torta rustica salata,Pepe nero,q.b.,Antipasti
Torta rustica salata,Latte intero,q.b.,Antipasti
Vitello tonnato,Vitello,(magatello o girello)800g,Antipasti
Vitello tonnato,Sedano,1costa,Antipasti
Vitello tonnato,Carote,1,Antipasti
Vitello tonnato,Cipolle dorate,1,Antipasti
Vitello tonnato,Aglio,1spicchio,Antipasti
Vitello tonnato,Vino bianco,250g,Antipasti
Vitello tonnato,Acqua,"1,5l",Antipasti
Vitello tonnato,Alloro,1foglia,Antipasti
Vitello tonnato,Chiodi di garofano,3,Antipasti
Vitello tonnato,Olio extravergine d'oliva,3cucchiai,Antipasti
Vitello tonnato,Pepe nero in grani,½cucchiaino,Antipasti
Vitello tonnato,Sale fino,2pizzichi,Antipasti
Vitello tonnato,Uova,2,Antipasti
Vitello tonnato,Tonno sott'olio,sgocciolato100g,Antipasti
Vitello tonnato,Acciughe sott'olio,3filetti,Antipasti
Vitello tonnato,Capperi sotto sale,5g,Antipasti
Vitello tonnato,Frutti di cappero ,per decorareq.b.,Antipasti
Gnocco fritto,Strutto,35g,Antipasti
Gnocco fritto,Farina 0,500g,Antipasti
Gnocco fritto,Zucchero,5g,Antipasti
Gnocco fritto,Sale fino,15g,Antipasti
Gnocco fritto,Acqua,circa125g,Antipasti
Gnocco fritto,Latte intero,100g,Antipasti
Gnocco fritto,Lievito istantaneo per preparazioni salate,12g,Antipasti
Gnocco fritto,Olio di semi,q.b.,Antipasti
Ravioli di carne giapponesi (Gyoza),Acqua,(calda)90g,Antipasti
Ravioli di carne giapponesi (Gyoza),Farina 00,200g,Antipasti
Ravioli di carne giapponesi (Gyoza),Sale,1pizzico,Antipasti
Ravioli di carne giapponesi (Gyoza),Maiale,macinato400g,Antipasti
Ravioli di carne giapponesi (Gyoza),Cipollotto fresco,60g,Antipasti
Ravioli di carne giapponesi (Gyoza),Cicoria,50g,Antipasti
Ravioli di carne giapponesi (Gyoza),Aglio,1spicchio,Antipasti
Ravioli di carne giapponesi (Gyoza),Salsa di soia,20g,Antipasti
Ravioli di carne giapponesi (Gyoza),Tuorli,1,Antipasti
Ravioli di carne giapponesi (Gyoza),Olio di semi,10g,Antipasti
Ravioli di carne giapponesi (Gyoza),Acqua,20g,Antipasti
Ravioli di carne giapponesi (Gyoza),Salsa di soia,20g,Antipasti
Ravioli di carne giapponesi (Gyoza),Zenzero fresco,(polpa grattugiata)1cucchiaino,Antipasti
Ravioli di carne giapponesi (Gyoza),Tabasco®,4gocce,Antipasti
Pizza di scarola,Farina 0,(o farina 00)700g,Antipasti
Pizza di scarola,Acqua,a temperatura ambiente500ml,Antipasti
Pizza di scarola,Lievito di birra fresco,4g,Antipasti
Pizza di scarola,Sale fino,20g,Antipasti
Pizza di scarola,Scarola (indivia),riccia cruda100g,Antipasti
Pizza di scarola,Olive di Gaeta,denocciolate60g,Antipasti
Pizza di scarola,Capperi sotto sale,dissalati20g,Antipasti
Pizza di scarola,Acciughe sott'olio,in filetti tipo Cetara10g,Antipasti
Pizza di scarola,Olio extravergine d'oliva,10g,Antipasti
Pizza di scarola,Olio extravergine d'oliva,q.b.,Antipasti
Insalata russa,Patate,500g,Antipasti
Insalata russa,Pisellini,300g,Antipasti
Insalata russa,Carote,200g,Antipasti
Insalata russa,Cetriolini sottaceto,50g,Antipasti
Insalata russa,Uova,2,Antipasti
Insalata russa,Olio extravergine d'oliva, 30g,Antipasti
Insalata russa,Sale fino,q.b.,Antipasti
Insalata russa,Pepe nero,q.b.,Antipasti
Insalata russa,Tuorli,a temperatura ambiente2,Antipasti
Insalata russa,Olio di semi di girasole,200g,Antipasti
Insalata russa,Succo di limone,25g,Antipasti
Insalata russa,Aceto di vino bianco,10g,Antipasti
Insalata russa,Sale fino,q.b.,Antipasti
Insalata russa,Pepe nero,q.b.,Antipasti
Quiche di zucchine,Farina 00,200g,Antipasti
Quiche di zucchine,Burro,100g,Antipasti
Quiche di zucchine,Acqua,(ghiacciata)50g,Antipasti
Quiche di zucchine,Sale fino,1pizzico,Antipasti
Quiche di zucchine,Zucchine,500g,Antipasti
Quiche di zucchine,Taleggio,150g,Antipasti
Quiche di zucchine,Porri,1,Antipasti
Quiche di zucchine,Panna fresca liquida,200g,Antipasti
Quiche di zucchine,Grana Padano DOP,da grattugiare100g,Antipasti
Quiche di zucchine,Uova,medie3,Antipasti
Quiche di zucchine,Olio extravergine d'oliva,30g,Antipasti
Quiche di zucchine,Noce moscata,da grattugiareq.b.,Antipasti
Quiche di zucchine,Prezzemolo,q.b.,Antipasti
Quiche di zucchine,Sale fino,q.b.,Antipasti
Fiori di zucca in pastella,Fiori di zucca,15,Antipasti
Fiori di zucca in pastella,Sale fino,q.b.,Antipasti
Fiori di zucca in pastella,Olio di semi di arachide,per friggereq.b.,Antipasti
Fiori di zucca in pastella,Acqua,"minerale, tiepida220g",Antipasti
Fiori di zucca in pastella,Farina 00,150g,Antipasti
Fiori di zucca in pastella,Lievito di birra fresco,15g,Antipasti
Fiori di zucca in pastella,Sale fino,6g,Antipasti
Fiori di zucca in pastella,Zucchero,6g,Antipasti
Fiori di zucca in pastella,Acqua,minerale ghiacciata200g,Antipasti
Fiori di zucca in pastella,Farina 00,100g,Antipasti
Fiori di zucca in pastella,Tuorli,1,Antipasti
Polpette di pesce,Merluzzo,filetto700g,Antipasti
Polpette di pesce,Pane,mollica100g,Antipasti
Polpette di pesce,Prezzemolo,1ciuffo,Antipasti
Polpette di pesce,Timo,q.b.,Antipasti
Polpette di pesce,Uova,2,Antipasti
Polpette di pesce,Aglio,1spicchio,Antipasti
Polpette di pesce,Sale fino,q.b.,Antipasti
Polpette di pesce,Pepe nero,q.b.,Antipasti
Polpette di pesce,Parmigiano Reggiano DOP,da grattugiare80g,Antipasti
Polpette di pesce,Farina 00,q.b.,Antipasti
Polpette di pesce,Olio di semi di arachide,q.b.,Antipasti
Nugget di pollo,Petto di pollo,500g,Antipasti
Nugget di pollo,Pane,80g,Antipasti
Nugget di pollo,Cipolle bianche,50g,Antipasti
Nugget di pollo,Senape di Digione,1cucchiaio,Antipasti
Nugget di pollo,Sale fino,1cucchiaino,Antipasti
Nugget di pollo,Farina 00,80g,Antipasti
Nugget di pollo,Latte intero,80g,Antipasti
Nugget di pollo,Uova,1,Antipasti
Nugget di pollo,Sale fino,q.b.,Antipasti
Nugget di pollo,Pangrattato,100g,Antipasti
Nugget di pollo,Olio di semi,q.b.,Antipasti
Rotolo di frittata farcito,Uova,intere8,Antipasti
Rotolo di frittata farcito,Grana Padano DOP,da grattugiare50g,Antipasti
Rotolo di frittata farcito,Sale fino,q.b.,Antipasti
Rotolo di frittata farcito,Pepe nero,q.b.,Antipasti
Rotolo di frittata farcito,Olio extravergine d'oliva,per la tegliaq.b.,Antipasti
Rotolo di frittata farcito,Prosciutto crudo,a fette120g,Antipasti
Rotolo di frittata farcito,Rucola,30g,Antipasti
Rotolo di frittata farcito,Scamorza (provola),affumicata230g,Antipasti
Rotolo di frittata farcito,Pesto di rucola,100g,Antipasti
Rotolo di frittata farcito,Rucola,25g,Antipasti
Rotolo di frittata farcito,Grana Padano DOP,da grattugiare15g,Antipasti
Rotolo di frittata farcito,Pecorino romano,grattugiato15g,Antipasti
Rotolo di frittata farcito,Pinoli,12g,Antipasti
Rotolo di frittata farcito,Aglio,1spicchio,Antipasti
Rotolo di frittata farcito,Olio extravergine d'oliva,40g,Antipasti
Rotolo di frittata farcito,Sale fino,q.b.,Antipasti
Pizzette di sfoglia,Olive nere,denocciolate 4,Antipasti
Pizzette di sfoglia,Capperi sott'aceto,20,Antipasti
Pizzette di sfoglia,Provola,65g,Antipasti
Pizzette di sfoglia,Uova,piccolo1,Antipasti
Pizzette di sfoglia,Origano,mezzo cucchiaio,Antipasti
Pizzette di sfoglia,Pasta Sfoglia,230g,Antipasti
Pizzette di sfoglia,Acciughe sott'olio,filetti5,Antipasti
Pizzette di sfoglia,Passata di pomodoro,50g,Antipasti
Pizzette di sfoglia,Pesto alla Genovese,3cucchiaini,Antipasti
Pizzette rosse,Acqua,a temperatura ambiente250g,Antipasti
Pizzette rosse,Farina 00,500g,Antipasti
Pizzette rosse,Lievito di birra fresco,10g,Antipasti
Pizzette rosse,Zucchero,12g,Antipasti
Pizzette rosse,Olio extravergine d'oliva,60g,Antipasti
Pizzette rosse,Sale fino,15g,Antipasti
Pizzette rosse,Passata di pomodoro,350g,Antipasti
Pizzette rosse,Mozzarella,250g,Antipasti
Pizzette rosse,Sale fino,1cucchiaino,Antipasti
Pizzette rosse,Pepe nero,q.b.,Antipasti
Pizzette rosse,Olio extravergine d'oliva,q.b.,Antipasti
Pizzette rosse,Origano,q.b.,Antipasti
Polenta chips,Farina di mais fioretto,250g,Antipasti
Polenta chips,Acqua,1l,Antipasti
Polenta chips,Olio extravergine d'oliva,1cucchiaio,Antipasti
Polenta chips,Rosmarino,q.b.,Antipasti
Polenta chips,Sale grosso,q.b.,Antipasti
Polenta chips,Olio di semi,q.b.,Antipasti
Falafel di ceci (Felafel),Ceci secchi,500g,Antipasti
Falafel di ceci (Felafel),Cipolle,1,Antipasti
Falafel di ceci (Felafel),Aglio,1spicchio,Antipasti
Falafel di ceci (Felafel),Cumino,in polvere1pizzico,Antipasti
Falafel di ceci (Felafel),Prezzemolo,1mazzetto,Antipasti
Falafel di ceci (Felafel),Sale fino,1pizzico,Antipasti
Falafel di ceci (Felafel),Pepe nero,1pizzico,Antipasti
Falafel di ceci (Felafel),Olio di semi di arachide,1l,Antipasti
Frittelle croccanti di patate,Patate,(grandi)4,Antipasti
Frittelle croccanti di patate,Farina 00,2cucchiai,Antipasti
Frittelle croccanti di patate,Rosmarino,2rametti,Antipasti
Frittelle croccanti di patate,Sale fino,q.b.,Antipasti
Frittelle croccanti di patate,Pepe nero, q.b.,Antipasti
Frittelle croccanti di patate,Olio di oliva,q.b.,Antipasti
Taralli,Farina 00, 550g,Antipasti
Taralli,Vino bianco secco, 200g,Antipasti
Taralli,Olio extravergine d'oliva, 120g,Antipasti
Taralli,Sale fino,10g,Antipasti
Involtini di verza,Riso Carnaroli,280g,Antipasti
Involtini di verza,Verza,6foglie,Antipasti
Involtini di verza,Salsiccia,350g,Antipasti
Involtini di verza,Sedano,40g,Antipasti
Involtini di verza,Carote,40g,Antipasti
Involtini di verza,Cipolle dorate,40g,Antipasti
Involtini di verza,Olio di oliva,50g,Antipasti
Involtini di verza,Burro,30g,Antipasti
Involtini di verza,Brodo vegetale,1l,Antipasti
Involtini di verza,Sale fino,q.b.,Antipasti
Involtini di verza,Pepe nero,q.b.,Antipasti
Involtini di verza,Grana Padano DOP,grattugiato80g,Antipasti
Involtini di verza,Timo,2rametti,Antipasti
Involtini di verza,Vino bianco,60g,Antipasti
Cozze gratinate,Cozze,(con la loro acqua)500g,Antipasti
Cozze gratinate,Pangrattato,100g,Antipasti
Cozze gratinate,Grana Padano DOP,(da grattugiare)1cucchiaio,Antipasti
Cozze gratinate,Aglio,1spicchio,Antipasti
Cozze gratinate,Scorza di limone,1,Antipasti
Cozze gratinate,Prezzemolo,(da tritare) 10g,Antipasti
Cozze gratinate,Olio extravergine d'oliva,30g,Antipasti
Cozze gratinate,Pepe nero,q.b.,Antipasti
Polpette di patate,Patate,500g,Antipasti
Polpette di patate,Caciocavallo,100g,Antipasti
Polpette di patate,Pangrattato,80g,Antipasti
Polpette di patate,Grana Padano DOP,da grattugiare60g,Antipasti
Polpette di patate,Uova,2,Antipasti
Polpette di patate,Prezzemolo,q.b.,Antipasti
Polpette di patate,Sale fino,q.b.,Antipasti
Polpette di patate,Pepe nero,q.b.,Antipasti
Polpette di patate,Olio extravergine d'oliva,q.b.,Antipasti
Frittatine nella pancetta,Uova,6,Antipasti
Frittatine nella pancetta,Pancetta,24fette,Antipasti
Frittatine nella pancetta,Parmigiano Reggiano DOP,da grattugiare3cucchiai,Antipasti
Frittatine nella pancetta,Panna fresca liquida,150g,Antipasti
Frittatine nella pancetta,Basilico,1ciuffo,Antipasti
Frittatine nella pancetta,Sale fino,q.b.,Antipasti
Frittatine nella pancetta,Pepe nero,q.b.,Antipasti
Plumcake salato,Farina 00,200g,Antipasti
Plumcake salato,Uova,3,Antipasti
Plumcake salato,Pancetta affumicata,a cubetti150g,Antipasti
Plumcake salato,Panna fresca liquida,100ml,Antipasti
Plumcake salato,Latte intero,100ml,Antipasti
Plumcake salato,Olio extravergine d'oliva,60ml,Antipasti
Plumcake salato,Sale fino,q.b.,Antipasti
